epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,pixel_acc
1,0.8883263519548824,0.8642826395876267,0.5713223300703846,0.5244033829254262,0.40908390107001186,0.38876629594494316,0.5930335351649453
2,0.8019194409653947,0.8646048791268293,0.6244601870029235,0.5384028529419619,0.4631092664853451,0.3994843288379557,0.6047823059208253
3,0.7548896864893035,0.7437486683621126,0.6568204087675733,0.6184648622484769,0.49743824410339404,0.47046992883962746,0.6735232752912185
4,0.7309491505493989,0.7609041701344883,0.6704242976688298,0.6094477201209348,0.5128213807227954,0.4637739020235398,0.6707977224798763
5,0.7112824652893875,0.6961609058520373,0.6806320896267644,0.6712655852822697,0.5244362509795881,0.5226460060652565,0.709527331941268
6,0.6984450561836703,0.6834669256911559,0.6873196386993551,0.6776569282307344,0.5322436382393827,0.5277757097693051,0.7097517574534696
7,0.6861446988062154,0.7105651518877815,0.6926198189075177,0.6606508388238794,0.5384543658913793,0.5124636295963736,0.6991719659637002
8,0.6762119625809286,0.7621014496859382,0.6978127645355748,0.6121189184048597,0.5446586188184497,0.4670458229149089,0.664890639220967
9,0.6669048690498495,0.6515235634411083,0.7021040293134424,0.6906805830843309,0.5497631384776189,0.5445841329939225,0.7269687266910777
10,0.6586432535038669,0.65326849081937,0.7059995694368644,0.6856409430503845,0.5544058888716906,0.5397060310139375,0.7252511466250701
11,0.6541974776252144,0.7832670176730436,0.7078675072554986,0.6092838813276852,0.5566171046478089,0.4525361509884105,0.6394588849123787
12,0.6498513084191543,0.7006161226945765,0.709907321449129,0.6729242423001458,0.5590289160764143,0.5226292210466722,0.702115499272066
13,0.6418298050420448,0.636378129790811,0.7137880065089204,0.686402723719092,0.5635880420832525,0.5434844223891988,0.7282713020549101
14,0.6379272220907984,0.6482760948293349,0.7145232711908971,0.6840753071448382,0.5647373426233161,0.5379231866668253,0.7222689761834986
15,0.6290692740319425,0.6424250406377455,0.7195702497527902,0.6964769966462079,0.5708309466526563,0.5507392799153047,0.7295845150947571
16,0.6299450722776678,0.6505938757868374,0.7193851516796992,0.6771161531700808,0.5704291866871523,0.5333945488228518,0.7206966729725108
17,0.6202195681430198,0.6364115357398987,0.7233069931890761,0.6979091532090131,0.5754150849246186,0.5524905306451461,0.7325931913712446
18,0.6185952307900371,0.6541913397171918,0.7239334236311565,0.6868083771537332,0.5761541989389923,0.5398270649068496,0.7222694319837234
19,0.6116417834144124,0.7314098277512718,0.727309686478359,0.6557217941564673,0.5799231098000572,0.5062259288395152,0.7030131290940678
20,0.6084862950561943,0.6312469366718741,0.7282140528833544,0.7006551763590645,0.5812740087385238,0.5553293803158929,0.7363567261134877
21,0.6037443961150433,0.6457286259707282,0.7308705996822666,0.6775239940951853,0.5843392629137654,0.5322155692998101,0.7235715662731844
22,0.5989065208083131,0.6417293681817896,0.7323514375518116,0.6891846267616047,0.5861696872294817,0.5423187750227311,0.72878699092304
23,0.5952829636184193,0.6316272160586189,0.7339539003719163,0.696082579388338,0.588474862602793,0.5522460092516507,0.7359839060727288
24,0.5906142606680705,0.7497751891613007,0.7358035390689318,0.6670952053631053,0.5907117142003192,0.5151028152774362,0.6943450184429393
25,0.5874491730499665,0.6493134817656349,0.737962834552519,0.6851908354198232,0.5933511385426947,0.5383255744681639,0.722998900974498
26,0.5811412580419727,0.6137564578477074,0.7407058727716458,0.6971071404569289,0.5967094936638513,0.5536194320987252,0.7392005261252909
27,0.5778347524560663,0.605901721645804,0.7419356842546602,0.7103801271494697,0.598301406709667,0.5676347392446854,0.7462330243166755
28,0.5717256602031525,0.6222301865325255,0.7453728497895779,0.6974768912090975,0.6023949577382102,0.5524352241964902,0.7379706095246708
29,0.5680725413399774,0.6319130329524769,0.745797367700668,0.6990102410316468,0.6031250021190009,0.552918663445641,0.7332671144429375
30,0.5636119469535574,0.6155007709475124,0.7482537883730788,0.7109260446885053,0.606070629524342,0.5660796074306264,0.7405019304331611
31,0.5576789586063234,0.6314106513472164,0.7507652816306528,0.700822895414689,0.6090520601758342,0.5565028618363773,0.7355853774968315
32,0.5528767698148184,0.5959064669468823,0.7527404930636193,0.7152946366983302,0.6116515015737927,0.5721944107728846,0.7481043969883638
33,0.5457233823758401,0.6182375532739303,0.7562532486885848,0.7002983121310964,0.6160351068958672,0.5554657091112698,0.7374845981597901
34,0.5420983147472453,0.603827943872003,0.7575401186695218,0.705544132344863,0.617772015799108,0.5618479476255529,0.7437895753804376
35,0.5326605255167598,0.6655527612742256,0.7623954763531438,0.6740843667703517,0.6237038851032138,0.5273678390418782,0.7186424704159007
36,0.5270084642075203,0.6727336347103119,0.76486617153251,0.6702385110013626,0.6270536107481641,0.5198504402356989,0.713671137304867
37,0.5198445914317069,0.6168082994573256,0.7680326523007573,0.7061590454157661,0.630919348920953,0.5613929955398336,0.7402318007805768
38,0.5101891817397238,0.6234131508013782,0.7723213901390901,0.7041234289898591,0.6366448064108152,0.5590275196468129,0.738654753741096
