epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,pixel_acc
1,0.9393563922378476,0.8382265462594873,0.5341129768910874,0.585201261324041,0.3735339093542892,0.43173163357902977,0.6274781020248638
2,0.8514648169093221,0.7757524167790132,0.5950119204184122,0.6196920117911171,0.43259966800961325,0.4688393813722274,0.6615914534119999
3,0.7937231169173227,0.7224618371795205,0.6321207693857364,0.6615353475598728,0.4713982567346022,0.510452285934897,0.6941775230800404
4,0.7559003118665699,0.6915312037748449,0.6557860836665497,0.665241850123686,0.49655751571090206,0.5160467351184171,0.7035107724806842
5,0.7272578099909047,0.6801708018078524,0.6740123558936645,0.6714734666487749,0.5172966571211072,0.5261544977917391,0.7145010590553283
6,0.7151803105388015,0.6821812237010283,0.6808589138013161,0.6764795114012325,0.5249813016263958,0.528480973664452,0.7126013580490561
7,0.6999240301998638,0.7356451791875502,0.688736800220553,0.6073910572949578,0.5343201649907721,0.4683384436018327,0.6756237853975857
8,0.6940238239115836,0.6475536686532638,0.6905993428894487,0.6897089270984426,0.5363845371035181,0.5451251647051643,0.7300997425528134
9,0.683367030784147,0.6564372571075664,0.6969688911447902,0.6980129964211408,0.543990765007023,0.5534972853520337,0.730451024981106
10,0.6781259469083838,0.6496383382993586,0.6993493902460205,0.6969105240176706,0.546861398988355,0.5521634059793809,0.7314095279749702
11,0.6691583267368547,0.6312740455655491,0.704005084761463,0.7036240360316108,0.5522124057252293,0.5616704961832832,0.7393327236175538
12,0.6651350712082242,0.6466869729406693,0.7057342732522691,0.7001182619263144,0.5545800625038741,0.5549167987178354,0.730693805217743
13,0.6617866935452403,0.6308072826441596,0.7067177941298535,0.7078343160012189,0.5556594814307476,0.5651802311925327,0.7413500617532169
14,0.6561945266634411,0.6379390155567842,0.7094960740598968,0.6988753679920645,0.5591014820052284,0.5565064647618462,0.7382296940859626
15,0.6522241122013813,0.639457487709382,0.7115285698936288,0.6885132330305436,0.5614480907232995,0.5444432991392473,0.7268416159293231
16,0.6487302414592735,0.637837290763855,0.7119513367169117,0.6977425021283766,0.5625019427272733,0.5535289469887229,0.7372794249478508
17,0.6444207039543596,0.6290926687857684,0.7153380012561774,0.7016918252496158,0.5660470181963796,0.5585196999942555,0.7400262706420001
18,0.6447589805121233,0.6233872413635254,0.7147156762234138,0.7053057768765618,0.5653643714662897,0.562999668191461,0.7442671193796045
19,0.6411150137500803,0.62032289575128,0.717149327673684,0.701515513307908,0.5684320845499852,0.5602437829270083,0.7432827662019169
20,0.6373683057431124,0.6144460422151229,0.7179242766572631,0.70888451127445,0.5693634892823543,0.5666249608292299,0.7456673068158767
21,0.6344656371153318,0.6240683345233693,0.7193557227227891,0.7028828329899732,0.571046435721451,0.5607597449246575,0.7421808691585765
22,0.6322966372892416,0.6055338046130012,0.7211927267221304,0.7165120475432452,0.5731816937422802,0.576933949133929,0.751844365456525
23,0.6279569797357254,0.6086495353895075,0.7228604629480914,0.7147576107698328,0.5751989919405717,0.5728996697594138,0.7473315842011395
24,0.6249056118317801,0.6081803230678334,0.7239083497786968,0.7151846528053284,0.5764608930897068,0.574211835861206,0.7504717960077174
25,0.6252315064229985,0.6057263128897723,0.7230465155629259,0.714253312699935,0.5758104869580815,0.5744138871922212,0.7506433977800258
26,0.6207100103402088,0.6037575234385097,0.7259251828500982,0.715481143839219,0.5790459772653243,0.5758306387592764,0.751937247023863
27,0.6206796353299504,0.6026447173427133,0.7254847635102619,0.7164430127424353,0.5786467271386462,0.5757703767103307,0.7515167902497685
28,0.6174022296981851,0.6059331515256097,0.7271901880876934,0.7143509107477525,0.5805615439484372,0.5725235861890456,0.7497067044763004
29,0.614020750886933,0.6100781019996194,0.7289678647711471,0.7135227652157055,0.5828460082566663,0.5727968103745404,0.7503470974809984
30,0.6138836050603593,0.6022175154265236,0.7281963996232919,0.7210940774749307,0.5818405453727548,0.5809358617838691,0.7539296914549435
31,0.6130734328296725,0.5914104868383968,0.7288037314236536,0.7244613956002628,0.5827628240887688,0.5849494948106654,0.7583413004875184
32,0.6101761101561128,0.589868246457156,0.729219040479085,0.7222548057051266,0.5830962898329737,0.5820098017945009,0.7568028457024518
33,0.6065349782702829,0.6012168670401854,0.7305675343515472,0.7080958930885091,0.5849267358343715,0.56748666342567,0.749097087804009
